suite,case,config,status,note,rust_status
compiler,asiPublicPrivateProtected.ts,alwaysstrict=true,go-diff,,
compiler,asiPublicPrivateProtected.ts,alwaysstrict=false,go-pass,,
compiler,asiReturn.ts,,go-diff,,
compiler,assertInWrapSomeTypeParameter.ts,,go-diff,,
compiler,assertionFunctionWildcardImport1.ts,,go-pass,,
compiler,assertionFunctionWildcardImport2.ts,,go-pass,,
compiler,assertionFunctionsCanNarrowByDiscriminant.ts,,go-pass,,
compiler,assign1.ts,,go-pass,,
compiler,assignLambdaToNominalSubtypeOfFunction.ts,,go-diff,,
compiler,assignToEnum.ts,,go-diff,,
compiler,assignToExistingClass.ts,,go-diff,,
compiler,assignToFn.ts,,go-diff,,
compiler,assignToInvalidLHS.ts,,go-diff,,
compiler,assignToModule.ts,,go-diff,,
compiler,assignToObjectTypeWithPrototypeProperty.ts,,go-pass,,
compiler,assignToPrototype1.ts,,go-pass,,
compiler,assigningFromObjectToAnythingElse.ts,,go-diff,,
compiler,assigningFunctionToTupleIssuesError.ts,,go-diff,,
compiler,assignmentCompat1.ts,,go-diff,,
compiler,assignmentCompatBug2.ts,,go-diff,,
compiler,assignmentCompatBug3.ts,,go-pass,,
compiler,assignmentCompatBug5.ts,,go-diff,,
compiler,assignmentCompatForEnums.ts,,go-pass,,
compiler,assignmentCompatFunctionsWithOptionalArgs.ts,,go-diff,,
compiler,assignmentCompatInterfaceWithStringIndexSignature.ts,,go-diff,,
compiler,assignmentCompatOnNew.ts,,go-pass,,
compiler,assignmentCompatWithOverloads.ts,,go-diff,,
compiler,assignmentCompatability1.ts,,go-pass,,
compiler,assignmentCompatability10.ts,,go-pass,,
compiler,assignmentCompatability11.ts,,go-diff,,
compiler,assignmentCompatability12.ts,,go-diff,,
compiler,assignmentCompatability13.ts,,go-diff,,
compiler,assignmentCompatability14.ts,,go-diff,,
compiler,assignmentCompatability15.ts,,go-diff,,
compiler,assignmentCompatability16.ts,,go-diff,,
compiler,assignmentCompatability17.ts,,go-diff,,
compiler,assignmentCompatability18.ts,,go-diff,,
compiler,assignmentCompatability19.ts,,go-diff,,
compiler,assignmentCompatability2.ts,,go-diff,,
compiler,assignmentCompatability20.ts,,go-diff,,
compiler,assignmentCompatability21.ts,,go-diff,,
compiler,assignmentCompatability22.ts,,go-diff,,
compiler,assignmentCompatability23.ts,,go-diff,,
compiler,assignmentCompatability24.ts,,go-diff,,
compiler,assignmentCompatability25.ts,,go-diff,,
compiler,assignmentCompatability26.ts,,go-diff,,
compiler,assignmentCompatability27.ts,,go-diff,,
compiler,assignmentCompatability28.ts,,go-diff,,
compiler,assignmentCompatability29.ts,,go-diff,,
compiler,assignmentCompatability3.ts,,go-pass,,
compiler,assignmentCompatability30.ts,,go-diff,,
compiler,assignmentCompatability31.ts,,go-diff,,
compiler,assignmentCompatability32.ts,,go-diff,,
compiler,assignmentCompatability33.ts,,go-diff,,
compiler,assignmentCompatability34.ts,,go-diff,,
compiler,assignmentCompatability35.ts,,go-diff,,
compiler,assignmentCompatability36.ts,,go-diff,,
compiler,assignmentCompatability37.ts,,go-diff,,
compiler,assignmentCompatability38.ts,,go-diff,,
compiler,assignmentCompatability39.ts,,go-diff,,
compiler,assignmentCompatability4.ts,,go-diff,,
compiler,assignmentCompatability40.ts,,go-diff,,
compiler,assignmentCompatability41.ts,,go-diff,,
compiler,assignmentCompatability42.ts,,go-diff,,
compiler,assignmentCompatability43.ts,,go-diff,,
compiler,assignmentCompatability44.ts,,go-diff,,
compiler,assignmentCompatability45.ts,,go-diff,,
