norm_name,go_func,go_recv,go_file,rust_func,rust_file,rust_impl,match_type,score,aligned,marked_round,note
get_local_type_parameters_of_class_or_interface_or_type_alias,GetLocalTypeParametersOfClassOrInterfaceOrTypeAlias,Checker,tsc/internal/checker/exports.go:243,,,,go_only,0.0,,,
get_locale,GetLocale,Server,tsc/internal/lsp/server.go:780,,,,go_only,0.0,,,
get_localized_messages,getLocalizedMessages,,tsc/internal/diagnostics/diagnostics.go:89,,,,go_only,0.0,,,
get_locals,GetLocals,,tsc/internal/ast/utilities.go:61,set_locals,tsox-frontend/src/ast/symbol_map.rs:41,NodeSymbolMap,fuzzy,0.9,,,
get_location,getLocation,,tsc/internal/tracing/tracing.go:739,get_location,tsox-lsp/src/ls/cross_project.rs:64;tsox-lsp/src/ls/cross_project.rs:72;tsox-lsp/src/lsp/lsproto_lsp_traits.rs:18,Location,exact,1.0,,,
get_location_of_entry_for_feature,getLocationOfEntryForFeature,LanguageService,tsc/internal/ls/findallreferences.go:181,,,,go_only,0.0,,,
get_locations,,,,get_locations,tsox-lsp/src/ls/cross_project.rs:68;tsox-lsp/src/ls/cross_project.rs:133;tsox-lsp/src/ls/cross_project.rs:139,Option;Vec,rust_only,0.0,,,
get_longest_candidate_index,getLongestCandidateIndex,Checker,tsc/internal/checker/checker.go:9721,,,,go_only,0.0,,,
get_longest_extension_from_path,GetLongestExtensionFromPath,,tsc/internal/tspath/path.go:917,,,,go_only,0.0,,,
get_loop_break_continue_occurrences,getLoopBreakContinueOccurrences,,tsc/internal/ls/documenthighlights.go:634,,,,go_only,0.0,,,
get_lower_bound_of_key_type,getLowerBoundOfKeyType,Checker,tsc/internal/checker/checker.go:21342,,,,go_only,0.0,,,
get_m_time,GetMTime,,tsc/internal/execute/incremental/host.go:38,,,,go_only,0.0,,,
get_m_time,GetMTime,host,tsc/internal/execute/build/host.go:94,,,,go_only,0.0,,,
get_m_time,GetMTime,host,tsc/internal/execute/incremental/host.go:26,,,,go_only,0.0,,,
get_mapped_location,getMappedLocation,LanguageService,tsc/internal/ls/source_map.go:38,get_mapped_location,tsox-lsp/src/ls/source_map.rs:31,LanguageService,exact,1.0,,,
get_mapped_target_with_symbol,,,,get_mapped_target_with_symbol,tsox-checker/src/checker/relater_compare_checker_3.rs:573,Checker,rust_only,0.0,,,
get_mapped_type_modifiers,getMappedTypeModifiers,,tsc/internal/checker/checker.go:29363,,,,go_only,0.0,,,
get_mapped_type_name_type_kind,getMappedTypeNameTypeKind,Checker,tsc/internal/checker/checker.go:27193,,,,go_only,0.0,,,
get_mapped_type_optionality,getMappedTypeOptionality,,tsc/internal/checker/checker.go:29377,,,,go_only,0.0,,,
get_mapped_type_symbol_of_property,GetMappedTypeSymbolOfProperty,Checker,tsc/internal/checker/services.go:415,get_mapped_type_symbol_of_property,tsox-checker/src/checker/services_checker_2.rs:108;tsox-checker/src/checker/services_checker_5.rs:112,Checker,exact,1.0,,,
get_mapper_from_context,getMapperFromContext,Checker,tsc/internal/checker/inference.go:1414,,,,go_only,0.0,,,
get_marker_id,getMarkerId,recordedSpanWriter,tsc/internal/testutil/harnessutil/sourcemap_recorder.go:244,,,,go_only,0.0,,,
get_match_score,getMatchScore,,tsc/internal/ls/symbols.go:628,,,,go_only,0.0,,,
